排名,名称,评分,评分人数,导演,主演,国家,类型,经典台词
151,喜宴,9.0,422898人,李安 Ang Lee,赵文瑄 Winston Chao,中国台湾 美国,剧情 喜剧 爱情 同性 家庭,
152,告白,8.8,734625人,中岛哲也 Tetsuya Nakashima,松隆子 Takako Matsu,日本,剧情 悬疑,没有一人完全善，也没有一人完全恶。
153,玛丽和麦克斯,9.0,464557人,亚当·艾略特 Adam Elliot,托妮·科莱特 Toni Collette,澳大利亚 美国,剧情 喜剧 动画,你是我最好的朋友，你是我唯一的朋友 。
154,七武士,9.3,230840人,黑泽明 Akira Kurosawa,三船敏郎 Toshirô Mifune,日本,动作 冒险 剧情,
155,头号玩家,8.6,1498053人,史蒂文·斯皮尔伯格 Steven Spielberg,泰伊·谢里丹 Tye Sheri...,美国,动作 科幻 冒险,写给影迷，动漫迷和游戏迷的一封情书。
156,模仿游戏,8.8,712740人,莫滕·泰杜姆 Morten Tyldum,本尼迪克特·康伯巴奇 Benedict C...,英国 美国,剧情 传记 战争 同性,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
157,大鱼,8.8,619978人,蒂姆·波顿 Tim Burton,伊万·麦克格雷格 Ewan McGregor,美国,剧情 爱情 奇幻 冒险,
158,惊魂记,9.0,348973人,阿尔弗雷德·希区柯克 Alfred Hitchcock,安东尼·博金斯 Antho...,美国,悬疑 惊悚 恐怖,
159,射雕英雄传之东成西就,8.7,709788人,刘镇伟 Jeffrey Lau,梁朝伟 Tony Leung Chiu Wai,中国香港,喜剧 奇幻 武侠 古装,
160,血战钢锯岭,8.7,850766人,梅尔·吉布森 Mel Gibson,安德鲁·加菲尔德 Andrew Garfield,澳大利亚 美国,剧情 传记 历史 战争,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
161,你的名字。,8.5,1573167人,新海诚 Makoto Shinkai,神木隆之介 Ryûnosuke Kamiki,日本,剧情 爱情 动画,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
162,我是山姆,9.0,371506人,杰茜·尼尔森 Jessie Nelson,Sean Penn,美国,剧情 家庭,
163,阳光姐妹淘,8.8,632278人,姜炯哲 Hyeong-Cheol Kang,沈恩京 Eun-kyung Shim,韩国,剧情 喜剧,再多各自牛逼的时光，也比不上一起傻逼的岁月。
164,背靠背，脸对脸,9.5,174379人,黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang,牛振华 Zhenhua N...,中国大陆 中国香港,剧情,
165,心灵奇旅,8.7,1121346人,彼特·道格特 Pete Docter / 凯普·鲍尔斯 Kemp Powers,杰米·...,美国,动画 奇幻 音乐,
166,恐怖直播,8.7,719946人,金秉祐 Byeong-woo Kim,河正宇 Jung-woo Ha,韩国,剧情 犯罪 悬疑,恐怖分子的“秋菊打官司”。
167,黑客帝国3：矩阵革命,8.8,491442人,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski ...,未知,美国,动作 科幻,
168,电锯惊魂,8.7,603659人,詹姆斯·温 James Wan,雷·沃纳尔 Leigh Whannell,美国,悬疑 惊悚 恐怖,真相就在眼前。
169,三块广告牌,8.7,909389人,马丁·麦克唐纳 Martin McDonagh,弗兰西斯·麦克多蒙德 France...,英国 美国,剧情 犯罪,怼天怼地，你走后，她与世界为敌。
